T02 檔案比對版本來源記錄 072399

4:北美某大德提供
S:蕭鎮國大德提供──張文明大德二校
A:東坡站提供──妙雲蘭若校對
B:周金言大德輸入──妙雲蘭若校對
C:閻學新大德輸入
D:亞磬文化資訊站提供
W:維習安大德提供
K:維習安大德提供高麗藏 CD 原經文
f:法雨道場提供新式標點
c:張革豐大德提供新式標點重校

4:北美某大德提供, Text as provided by Anonymous from USA
S:蕭鎮國大德提供／張文明大德二校, Text as provided by Mr. Hsiao Chen-Kuo / proofread twice by Mr. Chang Wen-Ming
A:佛教經典系列提供／妙雲蘭若校對, Text as provided by The Canon Series / proofread by Miao-Yuan Aranya
B:周金言大德輸入／妙雲蘭若校對, Text as inputted by Mr. Chou Chin-Yan / proofread by Miao-Yuan Aranya
C:閻學新大德輸入, Text as inputted by Mr. Yan Hsue-Hsin
D:亞磬文化資訊站提供, Text as provided by Ya-Ching Station
W:維習安大德提供, Text as provided by Mr. Christian Wittern
K:維習安大德提供之高麗藏 CD 經文, Tripitaka Koreana as provided by Mr. Christian Wittern
f:法雨道場提供新式標點, Punctuated text as provided by Dhammavassarama
c:張革豐大德提供新式標點重校, Re-proofing punctuated text as provided by Mr. Zhang Ge-Feng


比對版本  大正經號-冊-頁  版本    日期       卷數  經名                                     【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────
SA4f      T0099-02-p0001  V1.12   2001/04/09   50  雜阿含經                                 【劉宋 求那跋陀羅譯】          K0650-18
SK4f      T0100-02-p0374  V1.12   2001/04/09   16  別譯雜阿含經                             【失譯】                       K0651-19
SK4f      T0101-02-p0493  V1.12   2001/04/06    1  雜阿含經                                 【失譯】                       K0745-19
SK4f      T0102-02-p0499  V1.12   2001/04/14    1  佛說五蘊皆空經                           【唐 義淨譯】                  K0731-19
SW4f      T0103-02-p0500  V1.12   2001/03/25    1  佛說聖法印經                             【西晉 竺法護譯】              K0750-19
SK4f      T0104-02-p0500  V1.12   2001/03/25    1  佛說法印經                               【宋 施護譯】                  K1407-40
SW4f      T0105-02-p0501  V1.12   2001/04/06    1  五陰譬喻經                               【後漢 安世高譯】              K0743-19
SK4f      T0106-02-p0501  V1.12   2001/04/06    1  佛說水沫所漂經                           【東晉 竺曇無蘭譯】            K0733-19
SK4f      T0107-02-p0502  V1.12   2001/03/25    1  佛說不自守意經                           【吳 支謙譯】                  K0737-19
SK4f      T0108-02-p0502  V1.12   2001/04/06    1  佛說滿願子經                             【失譯】                       K0755-19
SW4f      T0109-02-p0503  V1.12   2001/03/30    1  佛說轉法輪經                             【後漢 安世高譯】              K0741-19
