T08 檔案比對版本來源記錄 20070313

K:CWK（CW所提供高麗藏CD原經文）
W:CW（CW所提供）
k:EBS（EBS 人工一校之高麗藏CD經文）
O:CBETA（自行掃瞄辨識）
D:莊德明
E:EBS（取自EBS《金剛經專集》）
P:陳鋕雄（東坡經文）
B:佛教藏 OCR 小組
e:佛教電腦資訊庫功德會提供新式標點
c:CBETA 提供新式標點
m:摩訶工作室提供新式標點
M:Michelle Yu and Kitty 提供新式標點
C:張革豐大德提供新式標點重校
J:JCD（日本CD）


K:維習安大德提供之高麗藏 CD 經文, Tripitaka Koreana as provided by Mr. Christian Wittern
W:維習安大德提供, Text as provided by Mr. Christian Wittern
k:維習安大德提供之高麗藏 CD 經文／佛教電腦資訊庫功德會校對, Tripitaka Koreana as provided by Mr. Christian Wittern / proofread by Electronic Buddhadharma Society (EBS)
O:CBETA 自行掃瞄辨識, CBETA OCR Group
D:莊德明大德提供, Text as provided by Mr. Zhuang Derming
E:佛教電腦資訊庫功德會提供, Text as provided by Electronic Buddhadharma Society (EBS)
P:陳鋕雄大德提供, Text as provided by Mr. Chen Zhi-Xiong
B:佛教藏 OCR 小組輸入, Text as inputted by Buddhist Tripitaka OCR Team
e:佛教電腦資訊庫功德會提供新式標點, Punctuated text as provided by Electronic Buddhadharma Society (EBS)
c:CBETA 提供新式標點, Punctuated text as provided by CBETA
m:摩訶工作室提供新式標點, Punctuated text as provided by Maha Studio
M:Michelle Yu and Kitty 提供新式標點, Punctuated text as provided by Michelle Yu and Kitty
C:張革豐大德提供新式標點重校, Re-proofing punctuated text as provided by Mr. Zhang Ge-Feng
J:其他, Others



比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                         【朝代 譯者或作者】            高麗經號-冊
─────────────────────────────────────────────────────────────────────
kOcJ      T0221-08-p0001  V1.01  1999/12/10   20  放光般若經                                   【西晉 無羅叉譯】              K0002-05
kOMJ      T0222-08-p0147  V1.0   1999/12/10   10  光讚經                                       【西晉 竺法護譯】              K0004-05
WOcJ      T0223-08-p0217  V1.01  1999/12/10   27  摩訶般若波羅蜜經                             【後秦 鳩摩羅什譯】            K0003-05
WOeJ      T0224-08-p0425  V1.0   1999/12/10   10  道行般若經                                   【後漢 支婁迦讖譯】            K0006-05
WOcJ      T0225-08-p0478  V1.0   1999/12/10    6  大明度經                                     【吳 支謙譯】                  K0009-05
KOcJ      T0226-08-p0508  V1.0   1999/12/10    5  摩訶般若鈔經                                 【前秦 曇摩蜱共竺佛念譯】      K0005-05
BOeJ      T0227-08-p0536  V1.0   1999/12/10   10  小品般若波羅蜜經                             【後秦 鳩摩羅什譯】            K0007-05
KOeJ      T0228-08-p0587  V1.0   1999/12/10   25  佛說佛母出生三法藏般若波羅蜜多經             【宋 施護譯】                  K1423-40
kOcJ      T0229-08-p0676  V1.0   1999/12/10    3  佛說佛母寶德藏般若波羅蜜經                   【宋 法賢譯】                  K1200-34
kOcJ      T0230-08-p0684  V1.0   1999/12/10    1  聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經 【宋 施護等譯】                K1455-40
kOcJ      T0231-08-p0687  V1.01  1999/12/10    7  勝天王般若波羅蜜經                           【陳 月婆首那譯】              K0008-05
kOcJ      T0232-08-p0726  V1.0   1999/12/10    2  文殊師利所說摩訶般若波羅蜜經                 【梁 曼陀羅仙譯】              K0010-05
kOcJ      T0233-08-p0732  V1.0   1999/12/10    1  文殊師利所說般若波羅蜜經                     【梁 僧伽婆羅譯】              K0011-05
kOcCJ     T0234-08-p0740  V1.0   1999/12/10    2  佛說濡首菩薩無上清淨分衛經                   【宋 翔公譯】                  K0012-05
EOeCJ     T0235-08-p0748  V1.0   1999/12/10    1  金剛般若波羅蜜經                             【後秦 鳩摩羅什譯】            K0013-05
EOeJ      T0236a08-p0752  V1.0   1999/12/10    1  金剛般若波羅蜜經                             【元魏 菩提流支譯】            K0014-05
 OcJ      T0236b08-p0757  V1.0   1999/12/10    1  金剛般若波羅蜜經                             【元魏 菩提流支譯】            K0014-05
EOeJ      T0237-08-p0762  V1.01  1999/12/10    1  金剛般若波羅蜜經                             【陳 真諦譯】                  K0015-05
EOeJ      T0238-08-p0766  V1.0   1999/12/10    1  金剛能斷般若波羅蜜經                         【隋 笈多譯】                       -
EOeJ      T0239-08-p0771  V1.0   1999/12/10    1  佛說能斷金剛般若波羅蜜多經                   【唐 義淨譯】                  K0017-05
kOcJ      T0240-08-p0776  V1.0   1999/12/10    1  實相般若波羅蜜經                             【唐 菩提流志譯】              K0018-05
 OcJ      T0241-08-p0778  V1.0   1999/12/10    1  金剛頂瑜伽理趣般若經                         【唐 金剛智譯】                     -
kOcJ      T0242-08-p0781  V1.02  2000/03/01    1  佛說遍照般若波羅蜜經                         【宋 施護譯】                  K1189-34
kOcJ      T0243-08-p0784  V1.0   1999/12/10    1  大樂金剛不空真實三麼耶經                     【唐 不空譯】                  K1275-36
KOeJ      T0244-08-p0786  V1.01  1999/12/10    7  佛說最上根本大樂金剛不空三昧大教王經         【宋 法賢譯】                  K1256-34
KOeJ      T0245-08-p0825  V1.01  1999/12/10    2  佛說仁王般若波羅蜜經                         【後秦 鳩摩羅什譯】            K0019-05
kOcJ      T0246-08-p0834  V1.0   1999/12/10    2  仁王護國般若波羅蜜多經                       【唐 不空譯】                  K1340-37
kOcCJ     T0247-08-p0845  V1.0   1999/12/10    1  佛說了義般若波羅蜜多經                       【宋 施護譯】                  K1415-40
kOcCJ     T0248-08-p0845  V1.0   1999/12/10    1  佛說五十頌聖般若波羅蜜經                     【宋 施護譯】                  K1192-34
kOcJ      T0249-08-p0846  V1.0   1999/12/10    1  佛說帝釋般若波羅蜜多心經                     【宋 施護譯】                  K1190-34
kOcJ      T0250-08-p0847  V1.0   1999/12/10    1  摩訶般若波羅蜜大明呪經                  【姚秦 鳩摩羅什譯】            K0021-05
DOmCJ     T0251-08-p0848  V1.0   1999/12/10    1  般若波羅蜜多心經                             【唐 玄奘譯】                  K0020-05
DOcJ      T0252-08-p0849  V1.01  1999/12/10    1  普遍智藏般若波羅蜜多心經                     【唐 法月重譯】                K1267-36
DOcJ      T0253-08-p0849  V1.0   1999/12/10    1  般若波羅蜜多心經                             【唐 般若共利言等譯】          K1383-37
DOcJ      T0254-08-p0850  V1.0   1999/12/10    1  般若波羅蜜多心經                             【唐 智慧輪譯】                     -
DOcJ      T0255-08-p0850  V1.0   1999/12/10    1  般若波羅蜜多心經                             【唐 法成譯】                       -
 OcJ      T0256-08-p0851  V1.01  2000/03/01    1  唐梵翻對字音般若波羅蜜多心經                 【】                                -
DOmJ      T0257-08-p0852  V1.0   1999/12/10    1  佛說聖佛母般若波羅蜜多經                     【宋 施護譯】                  K1427-40
KOcJ      T0258-08-p0852  V1.0   1999/12/10    1  佛說聖佛母小字般若波羅蜜多經                 【宋 天息災譯】                K1090-33
KOcJ      T0259-08-p0854  V1.0   1999/12/10    1  佛說觀想佛母般若波羅蜜多菩薩經               【宋 天息災譯】                K1139-33
