T18 檔案比對版本來源記錄 120299

S:蕭鎮國大德提供
T:日本 SAT 組織提供
4:北美某大德提供
O:CBETA 自行掃瞄辨識
c:陳伯勳大德提供新式標點
i:黃金愛大德提供新式標點
q:毛佩君、廖予安、廖予慈大德提供新式標點

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
T:日本 SAT 組織提供, Text as provided by SAT, Japan
4:北美某大德提供, Text as provided by Anonymous from USA
O:CBETA 自行掃瞄辨識, CBETA OCR Group
c:陳伯勳大德提供新式標點, Punctuated text as provided by Mr. Chen Bo-Xun
i:黃金愛大德提供新式標點, Punctuated text as provided by Ms. Huang Jin-Ai
q:毛佩君、廖予安、廖予慈大德提供新式標點, Punctuated text as provided by Mao Pei-Jun and Liao Yu-An and Liao Yu-Ci



比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                                                               【朝代 譯者或作者】            高麗經號-冊
────────────────────────────────────────────────────────────────────────────────────────
ST4       T0848-18-p0001  V1.0   2000/03/01    7  大毘盧遮那成佛神變加持經                                                           【唐 善無畏．一行譯】            K0427-13
ST4       T0849-18-p0055  V1.0   2000/03/01    1  大毘盧遮那佛說要略念誦經                                                           【唐 菩提金剛譯】                   -
S4        T0850-18-p0065  V1.0   2000/03/01    3  攝大毘盧遮那成佛神變加持經入蓮華胎藏海會悲生曼荼攞廣大念誦儀軌供養方便會   【唐 輸婆迦羅譯】                   -
S4        T0851-18-p0090  V1.0   2000/03/01    3  大毘盧遮那經廣大儀軌                                                               【唐 善無畏譯】                     -
SO        T0852a18-p0108  V1.0   2000/03/01    2  大毘盧遮那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌供養方便會                   【唐 法全撰】                       -
S4        T0852b18-p0127  V1.0   2000/03/01    2  大毘盧舍那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌                             【】                                -
S4        T0853-18-p0143  V1.0   2000/03/01    3  大毘盧遮那成佛神變加持經蓮華胎藏菩提幢標幟普通真言藏廣大成就瑜伽                   【唐 法全集】                       -
S4        T0854-18-p0164  V1.0   2000/03/01    2  胎藏梵字真言                                                                       【失譯】                            -
S4        T0855-18-p0172  V1.0   2000/03/01    1  青龍寺軌記                                                                         【】                                -
S4        T0856-18-p0174  V1.0   2000/03/01    1  大毘盧遮那成佛神變加持經略示七支念誦隨行法                                         【唐 不空譯】                  K1364-37
S4        T0857-18-p0176  V1.0   2000/03/01    1  大日經略攝念誦隨行法                                                               【唐 不空譯】                  K1362-37
S4        T0858-18-p0177  V1.0   2000/03/01    1  大毘盧遮那略要速疾門五支念誦法                                                     【】                                -
S4c       T0859-18-p0177  V1.0   2000/03/01    1  供養儀式                                                                           【】                                -
S4q       T0860-18-p0181  V1.0   2000/03/01    1  大日經持誦次第儀軌                                                                 【】                                -
S4i       T0861-18-p0188  V1.0   2000/03/01    1  毘盧遮那五字真言修習儀軌                                                           【唐 不空譯】                       -
S4q       T0862-18-p0189  V1.0   2000/03/01    1  阿闍梨大曼荼攞灌頂儀軌                                                     【】                                -
S4i       T0863-18-p0193  V1.0   2000/03/01    1  大毘盧遮那經阿闍梨真實智品中阿闍梨住阿字觀門                                       【唐 惟謹述】                       -
S4c       T0864A18-p0195  V1.0   2000/03/01    1  大日如來劍印                                                                       【】                                -
S4c       T0864B18-p0203  V1.0   2000/03/01    1  胎藏金剛教法名號                                                                   【唐 義操集】                       -
ST4q      T0865-18-p0207  V1.0   2000/03/01    3  金剛頂一切如來真實攝大乘現證大教王經                                               【唐 不空譯】                  K1274-36
S4        T0866-18-p0223  V1.0   2000/03/01   4   金剛頂瑜伽中略出念誦經                                                             【唐 金剛智譯】                K0429-13
S4        T0867-18-p0253  V1.0   2000/03/01    2  金剛峰樓閣一切瑜伽瑜祇經                                                           【唐 金剛智譯】                     -
S4        T0868-18-p0270  V1.0   2000/03/01    3  諸佛境界攝真實經                                                                   【唐 般若譯】                       -
S4c       T0869-18-p0284  V1.0   2000/03/01    1  金剛頂經瑜伽十八會指歸                                                             【唐 不空譯】                  K1289-36
S4        T0870-18-p0287  V1.0   2000/03/01    1  略述金剛頂瑜伽分別聖位修證法門                                                     【唐 不空譯】                  K1291-36
