T20 檔案比對版本來源記錄 20071210

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
O:CBETA 自行掃瞄辨識, CBETA OCR Group
l:林光明大德提供新式標點, Punctuated text as provided by Mr. Lin Guang-ming
s:西蓮淨苑提供新式標點, Punctuated text as provided by The Seeland Monastery
q:清涼月提供新式標點, Punctuated text as provided by Qing Liang Yue

比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                                                                                                【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────────────────────────────────────────
S4        T1030-20-p0001  V1.0   2000/03/01    1  觀自在大悲成就瑜伽蓮華部念誦法門                                                                                    【唐 不空譯】                  K1374-37
S4        T1031-20-p0004  V1.0   2000/03/01    1  聖觀自在菩薩心真言瑜伽觀行儀軌                                                                                      【唐 不空譯】                  K1327-36
S4        T1032-20-p0006  V1.0   2000/03/01    1  瑜伽蓮華部念誦法                                                                                                    【唐 不空譯】                  K1325-36
S4        T1033-20-p0009  V1.0   2000/03/01    1  金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王經                                                                      【唐 不空譯】                  K1278-36
S4        T1034-20-p0017  V1.0   2000/03/01    1  呪五首                                                                                                         【唐 玄奘譯】                  K0312-11
S4        T1035-20-p0017  V1.0   2000/03/01    1  千轉陀羅尼觀世音菩薩呪                                                                                         【唐 智通譯】                  K0313-11
S4        T1036-20-p0018  V1.0   2000/03/01    1  千轉大明陀羅尼經                                                                                                    【宋 施護譯】                  K1160-34
S4        T1037-20-p0019  V1.0   2000/03/01    1  觀自在菩薩說普賢陀羅尼經                                                                                            【唐 不空譯】                  K1308-36
S4        T1038-20-p0021  V1.0   2000/03/01    1  清淨觀世音普賢陀羅尼經                                                                                              【唐 智通譯】                  K0449-13
S4        T1039-20-p0023  V1.0   2000/03/01    1  阿唎多羅陀羅尼阿嚕力經                                                                                              【唐 不空譯】                  K1281-36
S4        T1040-20-p0030  V1.0   2000/03/01    1  金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品                                                    【唐 不空譯】                  K1366-37
S4        T1041-20-p0032  V1.0   2000/03/01    1  觀自在菩薩心真言一印念誦法                                                                                          【唐 不空譯】                       -
S4        T1042-20-p0033  V1.0   2000/03/01    1  觀自在菩薩大悲智印周遍法界利益眾生薰真如法                                                                          【唐 不空譯】                       -
S4        T1043-20-p0034  V1.0   2000/03/01    1  請觀世音菩薩消伏毒害陀羅尼呪經                                                                                 【東晉 難提譯】                K0353-12
S4        T1044-20-p0038  V1.0   2000/03/01    1  佛說六字呪王經                                                                                                 【失譯】                       K0345-12
S4        T1045a20-p0039  V1.0   2000/03/01    1  佛說六字神呪王經                                                                                               【失譯】                       K0341-12
S4        T1045b20-p0041  V1.0   2000/03/01    1  六字神呪王經                                                                                                   【失譯】                            -
S4        T1046-20-p0043  V1.0   2000/03/01    1  六字大陀羅尼呪經                                                                                               【失譯】                       K0451-13
S4        T1047-20-p0044  V1.0   2000/03/01    1  佛說聖六字大明王陀羅尼經                                                                                            【宋 施護譯】                  K1170-34
S4        T1048-20-p0044  V1.0   2000/03/01    1  佛說大護明大陀羅尼經                                                                                                【宋 法天譯】                  K1102-33
S4        T1049-20-p0046  V1.0   2000/03/01    1  聖六字增壽大明陀羅尼經                                                                                              【宋 施護譯】                  K1196-34
S4        T1050-20-p0047  V1.0   2000/03/01    4  佛說大乘莊嚴寶王經                                                                                                  【宋 天息災譯】                K1088-33
S4        T1051-20-p0064  V1.0   2000/03/01    1  佛說一切佛攝相應大教王經聖觀自在菩薩念誦儀軌                                                                        【宋 法賢譯】                  K1222-34
S4        T1052-20-p0067  V1.0   2000/03/01    1  讚觀世音菩薩頌                                                                                                      【唐 慧智譯】                  K1031-30
S4q       T1053-20-p0068  V1.0   2000/03/01    1  聖觀自在菩薩功德讚                                                                                                  【宋 施護譯】                  K1414-40
S4        T1054-20-p0069  V1.0   2000/03/01    1  聖觀自在菩薩一百八名經                                                                                              【宋 天息災譯】                K1122-33
