T21 檔案比對版本來源記錄 013100

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
O:CBETA 自行掃瞄辨識, CBETA OCR Group
x:Xian 提供新式標點, Punctuated text as provided by Xian
C:張革豐大德提供新式標點, Punctuated text as provided by Mr. Zhang Ge-Feng

比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                                               【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────────────────
S4        T1199-21-p0001  V1.0   2000/03/01    1  金剛手光明灌頂經最勝立印聖無動尊大威怒王念誦儀軌法品               【唐 不空譯】                  K1376-37
S4        T1200-21-p0007  V1.0   2000/03/01    1  底哩三昧耶不動尊威怒王使者念誦法                                   【唐 不空譯】                  K1285-36
S4        T1201-21-p0013  V1.0   2000/03/01    3  底哩三昧耶不動尊聖者念誦祕密法                                     【唐 不空譯】                       -
S4        T1202-21-p0023  V1.0   2000/03/01    1  不動使者陀羅尼祕密法                                               【唐 金剛智譯】                K1271-36
S4        T1203-21-p0027  V1.0   2000/03/01    1  聖無動尊安鎮家國等法                                               【】                                -
S4        T1204-21-p0031  V1.0   2000/03/01    1  聖無動尊一字出生八大童子祕要法品                                   【】                                -
S4        T1205-21-p0033  V1.0   2000/03/01    1  勝軍不動明王四十八使者祕密成就儀軌                                 【唐 遍智集】                       -
S4        T1206-21-p0037  V1.0   2000/03/01    1  佛說俱利伽羅大龍勝外道伏陀羅尼經                                   【】                                -
S4        T1207-21-p0038  V1.0   2000/03/01    1  說矩里迦龍王像法                                                   【】                                -
S4        T1208-21-p0038  V1.0   2000/03/01    1  俱力迦羅龍王儀軌                                                   【唐 金剛智譯】                     -
S4        T1209-21-p0039  V1.0   2000/03/01    1  金剛頂瑜伽降三世成就極深密門                                       【唐 不空譯】                  K1380-37
S4        T1210-21-p0041  V1.0   2000/03/01    1  降三世忿怒明王念誦儀軌                                             【唐 不空譯】                       -
S4        T1211-21-p0042  V1.0   2000/03/01    1  甘露軍荼利菩薩供養念誦成就儀軌                                     【唐 不空譯】                  K1326-36
S4        T1212-21-p0049  V1.0   2000/03/01    1  西方陀羅尼藏中金剛族阿蜜哩多軍吒利法                               【唐 海雲記】                                -
S4        T1213-21-p0072  V1.0   2000/03/01    1  千臂軍荼利梵字真言                                                 【唐 義操記】                                -
S4        T1214-21-p0073  V1.0   2000/03/01    1  聖閻曼德迦威怒王立成大神驗念誦法                                   【唐 不空譯】                  K1351-37
