T37 檔案比對版本來源記錄 20041210

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
L:林忠鈺大德提供, Text as provided by Mr. Lin Zhong-Yu
s:西蓮淨苑提供新式標點, Punctuated text as provided by The Seeland Monastery
j:Jasmine 大德提供新式標點, Punctuated text as provided by Jasmine

比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────
S4        T1744-37-p0001  V1.0   2000/07/01    3  勝鬘寶窟                                 【隋 吉藏撰】                       -
SL4       T1745-37-p0091  V1.0   2000/07/01    2  無量壽經義疏                             【隋 慧遠撰】                       -
SL4       T1746-37-p0116  V1.0   2000/07/01    1  無量壽經義疏                             【隋 吉藏撰】                       -
S4        T1747-37-p0125  V1.0   2000/07/01    1  兩卷無量壽經宗要                         【新羅 元曉撰】                     -
S4        T1748-37-p0131  V1.0   2000/07/01    3  無量壽經連義述文贊                       【新羅 璟興撰】                     -
S4        T1749-37-p0173  V1.0   2000/07/01    1  觀無量壽經義疏                           【隋 慧遠撰】                       -
S4        T1750-37-p0186  V1.0   2000/07/01    1  觀無量壽佛經疏                           【隋 智顗說】                       -
S4        T1751-37-p0195  V1.0   2000/07/01    6  觀無量壽佛經疏妙宗鈔                     【宋 知禮述】                       -
S4        T1752-37-p0233  V1.0   2000/07/01    1  觀無量壽經義疏                           【隋 吉藏撰】                       -
S4s       T1753-37-p0245  V1.0   2000/07/01    4  觀無量壽佛經疏                           【唐 善導集記】                     -
S4        T1754-37-p0279  V1.0   2000/07/01    3  觀無量壽佛經義疏                         【宋 元照述】                       -
S4j       T1755-37-p0306  V1.0   2000/07/01    1  阿彌陀經義記                             【隋 智顗說】                       -
S4j       T1756-37-p0307  V1.0   2000/07/01    1  阿彌陀經義述                             【唐 慧淨述】                       -
S4j       T1757-37-p0310  V1.0   2000/07/01    1  阿彌陀經疏                               【唐 窺基撰】                       -
S4j       T1758-37-p0329  V1.0   2000/07/01    3  阿彌陀經通贊疏                           【唐 窺基撰】                       -
S4j       T1759-37-p0348  V1.0   2000/07/01    1  阿彌陀經疏                               【新羅 元曉述】                     -
S4j       T1760-37-p0350  V1.0   2000/07/01    1  阿彌陀經疏                               【宋 智圓述】                       -
S4s       T1761-37-p0356  V1.0   2000/07/01    1  阿彌陀經義疏                             【宋 元照述】                       -
S4j       T1762-37-p0363  V1.0   2000/07/01    1  阿彌陀經要解                             【明 智旭解】                       -
S4        T1763-37-p0377  V1.0   2000/07/01   71  大般涅槃經集解                           【梁 寶亮等集】                     -
S4        T1764-37-p0613  V1.0   2000/07/01   10  大般涅槃經義記                           【隋 慧遠述】                       -
───────────────────────────────────────────────────────────────────
