T38 檔案比對版本來源記錄 041200

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
y:釋印照法師提供新式標點, Punctuated text as provided by Ven. Shi Yin-Zhao

比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────
S4        T1765-38-p0001  V1.0   2000/07/01    2  大般涅槃經玄義                           【隋 灌頂撰】                       -
S4        T1766-38-p0015  V1.0   2000/07/01    4  涅槃玄義發源機要                         【宋 智圓述】                       -
S4        T1767-38-p0041  V1.0   2000/07/01   33  大般涅槃經疏                             【隋 灌頂撰】                       -
S4y       T1768-38-p0230  V1.0   2000/07/01    1  涅槃經遊意                               【隋 吉藏撰】                       -
S4        T1769-38-p0239  V1.0   2000/07/01    1  涅槃宗要                                 【新羅 元曉撰】                     -
S4        T1770-38-p0257  V1.0   2000/07/01    2  本願藥師經古迹                   【新羅 太賢撰】                     -
S4        T1771-38-p0263  V1.0   2000/07/01    1  彌勒經遊意                               【隋 吉藏撰】                       -
S4        T1772-38-p0272  V1.0   2000/07/01    2  觀彌勒上生兜率天經贊                     【唐 窺基撰】                       -
S4        T1773-38-p0299  V1.0   2000/07/01    1  彌勒上生經宗要                           【新羅 元曉撰】                     -
S4        T1774-38-p0303  V1.0   2000/07/01    1  三彌勒經疏                               【新羅 憬興撰】                     -
S4        T1775-38-p0327  V1.0   2000/07/01   10  注維摩詰經                               【後秦 僧肇撰】                     -
S4        T1776-38-p0421  V1.0   2000/07/01    4  維摩義記                                 【隋 慧遠撰】                       -
S4        T1777-38-p0519  V1.0   2000/07/01    6  維摩經玄疏                               【隋 智顗撰】                       -
S4        T1778-38-p0562  V1.0   2000/07/01   10  維摩經略疏                               【隋 智顗說　唐 湛然略】            -
S4        T1779-38-p0711  V1.0   2000/07/01   10  維摩經略疏垂裕記                         【宋 智圓述】                       -
S4        T1780-38-p0853  V1.0   2000/07/01    8  淨名玄論                                 【隋 吉藏造】                       -
S4        T1781-38-p0908  V1.0   2000/07/01    6  維摩經義疏                               【隋 吉藏撰】                       -
S4        T1782-38-p0993  V1.0   2000/07/01    6  說無垢稱經疏                             【唐 窺基撰】                       -
───────────────────────────────────────────────────────────────────
