T85 檔案比對版本來源記錄 010701

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
@:佛教電腦資訊庫功德會提供, Text as provided by Electronic Buddhadharma Society (EBS)
#:林忠鈺大德輸入, Text as inputted by Mr. Lin Zhong-Yu
!:黃璱璱大德輸入, Text as inputted by Miss Huang Se-Se
%:蔡寧君大德輸入, Text as inputted by Miss Cai Ning-Jun
^:楊織任大德輸入, Text as inputted by Mr. Yang Zhi-Ren
B:蘇明健大德輸入, Text as inputted by Mr. Su Ming-Jian
C:陳妙如大德輸入, Text as inputted by Miss Chen Miao-Ru
A:田萬頂、楊穩燕大德輸入, Text as inputted by Mr. Tian Wan-Ding and Miss Yang Wen-Yan
*:慧然法師輸入, Text as inputted by Ven. Huiran
j:Jasmine 大德提供新式標點, Punctuated text as provided by Jasmine
p:波羅大德提供新式標點, Punctuated text as provided by Po-Luo
g:黃桂芳大德提供新式標點, Punctuated text as provided by Huang Gui-Fan
y:葉居士提供新式標點, Punctuated text as provided by Ye

比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                       【朝代 譯者或作者】            高麗經號-冊
───────────────────────────────────────────────────────────────────
S@4       T2732-85-p0001  V1.0   2001/04/01    1  梁朝傅大士頌金剛經                         【】                                -
S@4       T2733-85-p0008  V1.0   2001/04/01    2  御注金剛般若波羅蜜經宣演                   【唐 道氤撰】                       -
S 4       T2734-85-p0052  V1.0   2001/04/01    1  金剛暎卷上                            【唐 寶達集】                       -
S@4       T2735-85-p0066  V1.0   2001/04/01    2  金剛般若經旨贊                             【唐 曇曠撰】                       -
S@4       T2736-85-p0109  V1.0   2001/04/01    1  金剛般若經依天親菩薩論贊略釋秦本義記卷上   【唐 知恩撰】                       -
S 4       T2737-85-p0120  V1.0   2001/04/01    1  金剛經疏                                   【】                                -
S 4       T2738-85-p0129  V1.0   2001/04/01    1  金剛經疏                                   【】                                -
S 4       T2739-85-p0132  V1.0   2001/04/01    1  金剛般若經挾註                             【】                                -
S 4       T2740-85-p0137  V1.0   2001/04/01    1  金剛般若義記                               【】                                -
S 4       T2741-85-p0141  V1.0   2001/04/01    1  金剛般若經疏                               【】                                -
S 4       T2742-85-p0154  V1.0   2001/04/01    1  金剛般若波羅蜜經傳外傳卷下                 【】                                -
S@4       T2743-85-p0156  V1.0   2001/04/01    1  持誦金剛經靈驗功德記                       【】                                -
S 4       T2744-85-p0160  V1.0   2001/04/01    1  仁王般若實相論卷第二                       【】                                -
S%4       T2745-85-p0166  V1.0   2001/04/01    1  仁王經疏                                   【】                                -
S 4       T2746-85-p0167  V1.0   2001/04/01    1  般若波羅蜜多心經還源述                     【】                                -
S 4       T2747-85-p0169  V1.0   2001/04/01    1  挾註波羅蜜多心經                           【】                                -
S 4       T2748-85-p0170  V1.0   2001/04/01    1  法華義記卷第三                             【】                                -
S 4       T2749-85-p0180  V1.0   2001/04/01    1  法華經疏                                   【】                                -
S 4       T2750-85-p0189  V1.0   2001/04/01    1  法華經疏                                   【】                                -
S 4       T2751-85-p0194  V1.0   2001/04/01    1  法華經疏                                   【】                                -
S 4       T2752-85-p0199  V1.0   2001/04/01    1  法華問答                                   【】                                -
