X10 檔案比對版本來源記錄 2006/03/05

K:CBETA 人工輸入, Input by CBETA
O:CBETA 掃瞄辨識, OCR by CBETA
g:古籍酷 AI 自動標點引擎提供新式標點初稿, Punctuated draft text as provided by GJ.cool AI punctuation engine
c:陳伯勳大德提供新式標點, Punctuated text as provided by Mr. Chen Bo-Xun
b:CBETA 提供新式標點, Punctuated text as provided by CBETA
m:毛佩君、廖予安、廖予慈大德提供新式標點, Punctuated text as provided by Mao Pei-Jun and Liao Yu-An and Liao Yu-Ci

比對版本  卍續經號-冊-頁  版本   日期       卷數  經名                                          【朝代 譯者或作者】
─────────────────────────────────────────────────────────
KOb       X0249_10_p0001  V1.0   2005/12/06    2  圓覺經鈔辨疑誤                                【宋 觀復撰】
KOg       X0250_10_p0012  V1.0   2005/12/06   12  圓覺經疏鈔隨文要解                            【元 清遠述】
KOb       X0251_10_p0151  V1.0   2005/12/06    2  御註圓覺經                                    【宋 孝宗帝註】
KOg       X0252_10_p0167  V1.0   2005/12/06    4  圓覺經類解                                    【宋 行霆解】
KOg       X0253_10_p0238  V1.0   2005/12/06   12  圓覺經夾頌集解講義                            【宋 周琪述】
KOg       X0254_10_p0378  V1.0   2005/12/06    6  圓覺經心鏡                                    【宋 智聰述】
KOc       X0255_10_p0433  V1.0   2005/12/06    1  圓覺經序注                                    【宋 如山註序】
KOg       X0256_10_p0434  V1.0   2005/12/06    1  圓覺經略疏序注                                【宋 如山注】
KOg       X0257_10_p0437  V1.0   2005/12/06    2  圓覺經集註                                    【宋 元粹述】
KOg       X0258_10_p0480  V1.0   2005/12/06    2  圓覺經直解                                    【明 德清解】
KOm       X0259_10_p0510  V1.0   2005/12/06    6  圓覺經近釋                                    【明 通潤述】
KOg       X0260_10_p0543  V1.0   2005/12/06    2  圓覺經要解                                    【明 寂正要解】
KOc       X0261_10_p0573  V1.0   2005/12/06    1  圓覺經精解評林                                【明 焦竑纂】
KOg       X0262_10_p0599  V1.0   2005/12/06    2  圓覺經句釋正白                                【清 弘麗著】
KOg       X0263_10_p0694  V1.0   2005/12/06    4  圓覺經析義疏                                  【清 通理述】
KOg       X0264_10_p0771  V1.0   2005/12/06    1  大寶積經述                                    【唐 徐鍔撰】
K         X0265_10_p0772  V1.0   2006/03/05    1  楞嚴經義疏注經科                              【宋 子璿述】
─────────────────────────────────────────────────────────
