X63 檔案比對版本來源記錄 2004/07/21

K:CBETA 人工輸入
O:CBETA 掃瞄辨識
F:佛光山禪藏
Z:維習安大德提供之 ZENCD 經文
q:林伯謙大德提供

K:CBETA 人工輸入, Input by CBETA
O:CBETA 掃瞄辨識, OCR by CBETA
F:台灣某大德提供, Text as provided by Anonymous, Taiwan
Z:維習安大德提供之 ZENCD 經文, ZENCD as provided by Mr. Christian Wittern
q:林伯謙大德提供, Text as provided by Lin Bo Qian

比對版本  卍續經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】
─────────────────────────────────────────────────────────
KO        X1217_63_p0001  V1.0   2004/07/21    1  菩提達磨大師略辨大乘入道四行觀           【梁 菩提達磨說】
KZ        X1218_63_p0002  V1.0   2004/07/21    1  達磨大師血脉論                      【梁 菩提達磨述】
KZ        X1219_63_p0005  V1.0   2004/07/21    1  達磨大師悟性論                           【梁 菩提達磨述】
KZ        X1220_63_p0008  V1.0   2004/07/21    1  達磨大師破相論                           【梁 菩提達磨述】
KO        X1222_63_p0014  V1.0   2004/07/21    1  修禪要訣                                 【北天竺 覺愛略說　唐 明恂隨錄　慧智傳譯】
KF        X1223_63_p0017  V1.0   2004/07/21    1  頓悟入道要門論                           【唐 慧海撰】
KO        X1224_63_p0024  V1.0   2004/07/21    1  諸方門人參問語錄                         【唐 慧海撰】
KF        X1225_63_p0031  V1.0   2004/07/21    1  中華傳心地禪門師資承襲圖                 【唐 裴休問　宗密答】
KF        X1226_63_p0036  V1.0   2004/07/21    1  宗門十規論                               【唐 文益撰】
KO        X1229_63_p0080  V1.0   2004/07/21    1  定慧相資歌                               【宋 延壽撰】
KO        X1230_63_p0081  V1.0   2004/07/21    1  警世                                     【宋 延壽撰】
KO        X1231_63_p0082  V1.0   2004/07/21    4  心賦注                                   【宋 延壽述】
KF        X1232_63_p0158  V1.0   2004/07/21    1  智覺禪師自行錄                           【宋 文冲(重校編集)】
KO        X1233_63_p0166  V1.0   2004/07/21    1  祇園正儀                                 【宋 道楷撰】
KO        X1234_63_p0167  V1.0   2004/07/21    1  臨濟宗旨                                 【宋 慧洪撰】
Kq        X1235_63_p0170  V1.0   2004/07/21    1  智證傳                                   【宋 慧洪撰　覺慈編】
KO        X1236_63_p0196  V1.0   2004/07/21    3  (重編)曹洞五位顯訣                       【宋 慧霞編　廣輝釋】
KO        X1237_63_p0216  V1.0   2004/07/21    1  寶鏡三昧本義                             【清 行策述】
KO        X1238_63_p0222  V1.0   2004/07/21    1  寶鏡三昧原宗辨謬說                       【清 淨訥述】
KO        X1239_63_p0224  V1.0   2004/07/21    1  溈山警策註                               【宋 守遂註】
KO        X1240_63_p0232  V1.0   2004/07/21    2  溈山警策句釋記                           【明 弘贊註　開詗記】
KO        X1241_63_p0260  V1.0   2004/07/21    1  證道歌註                                 【宋 彥琪註】
KO        X1242_63_p0281  V1.0   2004/07/21    2  永嘉禪宗集註                             【明 傳燈重編並註】
KO        X1244_63_p0373  V1.0   2004/07/21    9  百丈清規證義記                           【清 儀潤證義】
KO        X1245_63_p0522  V1.0   2004/07/21   10  (重雕補註)禪苑清規                       【宋 宗賾集】
KO        X1246_63_p0556  V1.0   2004/07/21    1  入眾日用                                 【宋 宗壽集】
KO        X1247_63_p0559  V1.0   2004/07/21    1  入眾須知                                 【】
KO        X1248_63_p0571  V1.0   2004/07/21    1  幻住庵清規                               【元 明本著】
KO        X1249_63_p0592  V1.0   2004/07/21    2  叢林校定清規總要                         【宋 惟勉編次】
KO        X1250_63_p0620  V1.0   2004/07/21   10  禪林備用清規                             【元 弋咸編】
KO        X1251_63_p0667  V1.0   2004/07/21    1  叢林兩序須知                             【明 通容述】
KO        X1252_63_p0677  V1.0   2004/07/21    4  禪林疏語考證                             【明 元賢集】
KO        X1253_63_p0725  V1.0   2004/07/21    1  初學記                                   【元 清覺述　道安注】
KO        X1254_63_p0735  V1.0   2004/07/21    1  正行集                                   【元 清覺述】
KO        X1255_63_p0737  V1.0   2004/07/21    1  禪家龜鑑                                 【朝鮮 退隱述】
KO        X1256_63_p0746  V1.0   2004/07/21    1  宗門玄鑑圖                               【明 虗一撰】
KF        X1257_63_p0755  V1.0   2004/07/21    2  博山禪警語                               【明 元來說　成正集】
KO        X1258_63_p0768  V1.0   2004/07/21    1  禪宗直指                                 【明 石成金著】
KO        X1259_63_p0774  V1.0   2004/07/21    1  禪門鍛鍊說                               【明 戒顯著】
─────────────────────────────────────────────────────────
