X69 檔案比對版本來源記錄 2004/06/07

K:CBETA 人工輸入
O:CBETA 掃瞄辨識
F:佛光山禪藏
Z:維習安大德提供之 ZENCD 經文

K:CBETA 人工輸入, Input by CBETA
O:CBETA 掃瞄辨識, OCR by CBETA
F:台灣某大德提供, Text as provided by Anonymous, Taiwan
Z:維習安大德提供之 ZENCD 經文, ZENCD as provided by Mr. Christian Wittern

比對版本  卍續經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】
─────────────────────────────────────────────────────────
KZ        X1320_69_p0001  V1.0   2004/06/07    1  四家語錄（序．引．跋）                   【】
KZ        X1321_69_p0002  V1.0   2004/06/07    1  馬祖道一禪師廣錄（四家語錄卷一）         【】
KZ        X1322_69_p0005  V1.0   2004/06/07    1  百丈懷海禪師語錄（四家語錄卷二）         【】
KZ        X1323_69_p0007  V1.0   2004/06/07    1  百丈懷海禪師廣錄（四家語錄卷三）         【】
KZF       X1326_69_p0021  V1.0   2004/06/07    1  五家語錄（序）                           【明 圓信．郭凝之 編集】
KZF       X1333_69_p0070  V1.0   2004/06/07    2  雪峰義存禪師語錄（真覺禪師語錄）         【明 林弘衍編次】
KZF       X1335_69_p0104  V1.0   2004/06/07    4  善慧大士語錄                             【唐 樓頴錄】
KZF       X1336_69_p0131  V1.0   2004/06/07    3  龐居士語錄                               【唐 于頔編集】
KZ        X1338_69_p0184  V1.0   2004/06/07    1  石霜楚圓禪師語錄                         【(小師)慧南重編】
KZ        X1339_69_p0197  V1.0   2004/06/07    1  瑯琊慧覺禪師語錄（序）                   【(參學)用孫序】
KZ        X1340_69_p0198  V1.0   2004/06/07    1  黃龍四家錄（序）                         【宋 秀人錢密序】
KZ        X1342_69_p0209  V1.0   2004/06/07    1  雲菴克文禪師語錄（敘．疏．附錄）         【】
KZ        X1343_69_p0213  V1.0   2004/06/07    1  寶覺祖心禪師語錄（黃龍四家錄第二）       【(侍者)子和錄　(門人)仲介重編】
KO        X1344_69_p0226  V1.0   2004/06/07    1  死心悟新禪師語錄（黃龍四家錄第三）       【】
KO        X1345_69_p0233  V1.0   2004/06/07    1  超宗慧方禪師語錄（黃龍四家錄第四）       【】
KO        X1346_69_p0241  V1.0   2004/06/07    1  雪峰慧空禪師語錄                         【(嗣法)慧弼編】
KO        X1347_69_p0257  V1.0   2004/06/07    1  長靈守卓禪師語錄                         【(嗣法)介諶編】
KO        X1348_69_p0272  V1.0   2004/06/07    1  雪菴從瑾禪師頌古                         【】
KO        X1350_69_p0277  V1.0   2004/06/07    1  保寧仁勇禪師語錄                         【(參學門人)道勝．圓淨 錄】
KO        X1351_69_p0294  V1.0   2004/06/07    2  白雲守端禪師語錄                         【】
KO        X1352_69_p0303  V1.0   2004/06/07    4  白雲守端禪師廣錄                         【(參學小師)處凝．智本．智華．法演 編集、海譚錄】
KO        X1353_69_p0328  V1.0   2004/06/07    2  開福道寧禪師語錄                         【(嗣法小師)善果集】
KO        X1354_69_p0345  V1.0   2004/06/07    1  月林師觀禪師語錄                         【(侍者)法寶．法璹．慶會．法清．有宗．惟珪．道果．慧開．德秀 編】
KO        X1355_69_p0354  V1.0   2004/06/07    2  無門慧開禪師語錄                         【(侍者)普敬．普通．了心．普禮．法孜．普巖．普覺．光祖．一見 錄】
KO        X1356_69_p0368  V1.0   2004/06/07    3  普菴印肅禪師語錄                         【】
KO        X1357_69_p0452  V1.0   2004/06/07    4  佛果克勤禪師心要                         【(嗣法)子文編】
KF        X1358_69_p0499  V1.0   2004/06/07    1  虎丘紹隆禪師語錄                         【(參學)嗣端 等編】
KO        X1359_69_p0506  V1.0   2004/06/07   10  應菴曇華禪師語錄                         【(嗣法)守詮 等編】
KO        X1360_69_p0554  V1.0   2004/06/07    4  瞎堂慧遠禪師廣錄                         【(參學)齊己．如本．祖淳．法慧 編】
KO        X1361_69_p0598  V1.0   2004/06/07    1  濟顛道濟禪師語錄                         【宋 沈孟柈敘述】
KO        X1362_69_p0621  V1.0   2004/06/07    2  普覺宗杲禪師語錄                         【(參學)法宏．道謙 編】
KO        X1363_69_p0649  V1.0   2004/06/07    1  西山亮禪師語錄                           【(侍者)覺心．志清 編】
KO        X1364_69_p0652  V1.0   2004/06/07    1  率菴梵琮禪師語錄                         【(小師)了見、(侍者)文郁．本空 編】
KO        X1365_69_p0662  V1.0   2004/06/07    1  北磵居簡禪師語錄                    【(參學)大觀編】
KO        X1366_69_p0683  V1.0   2004/06/07    1  物初大觀禪師語錄                         【(門人)德溥 等編校】
KO        X1367_69_p0698  V1.0   2004/06/07    4  笑隱大訢禪師語錄                         【(門人)延俊．慧曇．中孚．崇裕 等編】
KO        X1368_69_p0725  V1.0   2004/06/07    2  偃溪廣聞禪師語錄                         【(侍者門人)元清．淨志．普暉．元偉．光從．道鑑．道隆．惟實．妙高 編】
KO        X1369_69_p0755  V1.0   2004/06/07    1  大川普濟禪師語錄                         【(門人)元愷編】
KO        X1370_69_p0773  V1.0   2004/06/07    1  淮海原肇禪師語錄                         【(侍者門人)實仁．宗文．法奇．守愿．行佑．了元．善之．淨證．法從．紹熏．普璋．文煥．淨伏．慧行．文謙．正因．法恩．德紀．可能．持志．覺孫．惟康．宗和．如止．有智．慧雲．若舟 編】
KO        X1371_69_p0784  V1.0   2004/06/07    1  介石智朋禪師語錄                         【(參學侍者)正賢．宗坦．延輝．淨球．智瑾．志諶．祖誾 編】
KO        X1372_69_p0808  V1.0   2004/06/07    1  無文道燦禪師語錄                         【(小師)惟康編】
─────────────────────────────────────────────────────────
