ZW07 電子版本來源記錄 2010/01/27

F:方廣錩大德提供

F:方廣錩大德提供, Text as provided by Mr. Fang Guangchang

版本  典籍編號-冊-頁 版本   日期       卷數  典籍名稱                                         【朝代 譯者或作者】
─────────────────────────────────────────────────────────
F     ZW0058_07_p0039 V1.0   2010/01/27    1  注心要法門                                       【唐 宗密注　方廣錩整理】
F     ZW0059a07_p0052 V1.0   2010/01/27    1  姚和上金剛五禮一本                               【姚和尚撰　達照整理】
F     ZW0059b07_p0052 V1.0   2010/01/27    1  金剛五禮                                         【姚和尚撰　達照整理】
F     ZW0060_07_p0063 V1.0   2010/01/27    1  金剛禮                                           【遼 通理大師集　達照整理】
F     ZW0061_07_p0068 V1.0   2010/01/27    1  護國司南抄                                       【沙門玄鑒集　侯沖整理】
F     ZW0062_07_p0114 V1.0   2010/01/27    6  佛說消災延壽藥師灌頂章句儀                       【沙門若愚述　侯沖整理】
F     ZW0063_07_p0226 V1.0   2010/01/27    3  淨度三昧經                                       【大內文雄．齊藤隆信整理】
F     ZW0064a07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064b07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064c07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064d07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064e07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064f07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064g07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0064h07_p0348 V1.0   2010/01/27    1  地藏菩薩十齋日                                   【張總整理】
F     ZW0065_07_p0372 V1.0   2010/01/27    1  寧夏西夏方塔出土漢文佛典敘錄                     【方廣錩】
F     ZW0066_07_p0416 V1.0   2010/01/27    1  日本佛教目錄學的形成——以《東域傳燈錄》為中心   【末木文美士】
─────────────────────────────────────────────────────────
